text,intensity,category,polarity,emotion
"Another sleepless night. My mind keeps racing with thoughts, and I can't find peace to rest.",8,Insomnia,-1.0,fear
"The constant meetings and emails are draining me. I feel like I'm always behind and can't catch up.",7,Stress,-1.0,sadness
"Life feels full of opportunities. I'm making progress and feeling more confident each day.",8,Positive Outlook,1.0,joy
"I don't know if I'm on the right path. My career choices keep me up at night wondering 'what if'.",6,Career Confusion,-1.0,fear
"I've been skipping meals lately because I feel out of control. The thought of eating makes me anxious.",9,Eating Disorder,-1.0,fear
"My hands shake when I think about tomorrow's presentation. I can't seem to calm my racing thoughts.",7,Anxiety,-1.0,joy
"I haven't left my room in days. Nothing seems worth doing anymore, and I feel empty inside.",9,Depression,-1.0,sadness
"I've been lying awake until 4 AM every night. My mind won't stop racing when I try to sleep.",8,Insomnia,-1.0,fear
"Work deadlines are piling up, and I feel overwhelmed. I can't focus on anything properly.",7,Stress,-1.0,surprise
"Each day brings new opportunities for growth. I'm excited about the positive changes in my life.",8,Positive Outlook,1.0,joy
"I don't know if I chose the right career path. Everyone else seems to have it figured out.",6,Career Confusion,-1.0,joy
"My chest feels tight whenever I think about my health report. I keep googling symptoms constantly.",7,Health Anxiety,-1.0,joy
"I feel guilty every time I eat. Yesterday I skipped dinner because I felt I didn't deserve it.",8,Eating Disorder,-1.0,sadness
"Social situations make my heart race. I worry about what everyone thinks of me.",6,Anxiety,-1.0,fear
"I used to enjoy painting, but now I can't find the energy to pick up a brush.",7,Depression,-1.0,joy
"I'm grateful for all the progress I've made. Life feels full of possibilities now.",9,Positive Outlook,1.0,joy
"The bags under my eyes keep getting darker. I can't remember the last time I had proper sleep.",8,Insomnia,-1.0,sadness
"Meeting deadlines makes me feel accomplished. I'm learning to manage my time better.",6,Stress,1.0,joy
"Should I switch careers? I feel lost when I see my colleagues advancing while I'm stuck.",7,Career Confusion,-1.0,sadness
"Today was productive and fulfilling. I'm proud of how far I've come in my journey.",7,Positive Outlook,1.0,joy
"I keep worrying about getting sick. Every news about diseases makes me panic.",6,Health Anxiety,-1.0,fear
"Food has become my enemy. I spend hours counting calories and feeling guilty.",9,Eating Disorder,-1.0,sadness
"Simple tasks feel overwhelming lately. I'm constantly on edge about everything.",8,Anxiety,-1.0,fear
"I feel like a failure most days. Nothing I do seems good enough anymore.",8,Depression,-1.0,sadness
"My mind races with worries when I try to sleep. I've tried everything but nothing helps.",7,Insomnia,-1.0,fear
"Balancing work and life feels impossible. I'm always behind on something.",6,Stress,-1.0,sadness
"I'm learning to appreciate small wins. Each day brings something to be thankful for.",8,Positive Outlook,1.0,joy
"Everyone seems to be moving forward except me. I question my career choices daily.",7,Career Confusion,-1.0,joy
"The waiting room at the doctor's makes me panic. I'm always expecting the worst news.",8,Health Anxiety,-1.0,fear
"I've started keeping a food diary, and it's helping me develop a healthier relationship with eating.",6,Eating Disorder,1.0,joy
"Sometimes I freeze up in social situations, but I'm learning to manage it better.",5,Anxiety,0.0,joy
"I'm taking small steps each day. The darkness isn't as heavy as it used to be.",6,Depression,0.0,sadness
"I've developed a bedtime routine that helps me relax. Sleep is getting better gradually.",5,Insomnia,1.0,joy
"Learning to prioritize tasks has made work more manageable. I feel more in control now.",4,Stress,1.0,joy
"Every challenge is a learning opportunity. I'm growing stronger each day.",9,Positive Outlook,1.0,joy
"Exploring different career options has helped me understand myself better.",5,Career Confusion,0.0,joy
"I've been feeling more at ease about my health. I'm learning to trust my body.",4,Health Anxiety,1.0,joy
"I'm trying to eat mindfully and enjoy my meals without guilt. It's a work in progress.",5,Eating Disorder,1.0,joy
"Social situations used to terrify me, but I'm learning to cope with them better.",4,Anxiety,0.0,fear
"I'm finding joy in small moments again. Life feels brighter than before.",6,Depression,1.0,joy
"Sleep is becoming more restful. I'm learning to quiet my mind before bed.",5,Insomnia,1.0,fear
"Setting boundaries at work has reduced my stress levels. I feel more balanced now.",4,Stress,1.0,joy
"I wake up excited about the day ahead. Each morning is a fresh start.",7,Positive Outlook,1.0,joy
"I'm exploring different career paths to find what truly excites me. Change is scary but necessary.",6,Career Confusion,0.0,fear
"I'm feeling more confident about my health. I've started listening to my body's signals.",4,Health Anxiety,1.0,joy
"I'm learning to enjoy food without obsessing over calories. It's liberating.",5,Eating Disorder,1.0,joy
"Socializing has become less daunting. I'm finding common ground with others.",4,Anxiety,0.0,fear
"My mind feels like it can't rest when thinking about health issues. Every small symptom makes me worry about serious illnesses.",8,Health Anxiety,-1.0,sadness
"It's a struggle to eat normally these days. I'm constantly worried about calories and gaining weight.",9,Eating Disorder,-1.0,fear
"Lately, I've been feeling very anxious about everything. Simple tasks feel overwhelming and my heart races often.",7,Anxiety,-1.0,fear
"Sometimes, I think I'm feeling hopeful about my recovery. Each day brings small improvements in my mood.",6,Depression,1.0,joy
"I'm trying, but I'm still extremely stressed about work deadlines. Everything feels like it's piling up.",8,Stress,-1.0,sadness
"My mind feels like it can't sleep well again. I've been tossing and turning all night.",7,Insomnia,-1.0,joy
"It's a struggle with my career path. I'm constantly worried about making the wrong choices.",6,Career Confusion,-1.0,fear
"Sometimes, I think I'm feeling hopeful about the future. Life seems full of possibilities again.",8,Positive Outlook,1.0,joy
"My mind feels like it's racing with health fears. Every doctor's appointment fills me with dread.",9,Health Anxiety,-1.0,fear
"Lately, I've been feeling very anxious about food. Mealtimes have become a source of stress.",8,Eating Disorder,-1.0,fear
"I'm trying, but I'm still extremely stressed in social situations. My hands shake during meetings.",7,Anxiety,-1.0,anger
"My mind feels like it can't find joy anymore. Even simple tasks feel overwhelming these days.",9,Depression,-1.0,joy
"Sometimes, I think I'm feeling better about my sleep patterns. The nighttime anxiety is slowly improving.",5,Insomnia,1.0,joy
"Lately, I've been feeling very overwhelmed at work. The pressure keeps building up.",8,Stress,-1.0,surprise
"It's a struggle to stay positive, but I'm making progress. Small wins keep me going.",6,Positive Outlook,0.0,joy
"My mind feels like it's stuck between different career options. Decision-making seems impossible.",7,Career Confusion,-1.0,sadness
"It's a struggle with these constant health worries. I check my symptoms online repeatedly.",8,Health Anxiety,-1.0,fear
"Lately, I've been feeling very conflicted about eating. The guilt after meals is overwhelming.",9,Eating Disorder,-1.0,anger
"I'm trying, but I'm still extremely nervous about everyday things. My thoughts won't slow down.",8,Anxiety,-1.0,fear
"My mind feels like it's wrapped in darkness. Getting through each day is a challenge.",9,Depression,-1.0,sadness
"Sometimes, I think I'm feeling more rested. The sleepless nights are becoming less frequent.",6,Insomnia,1.0,joy
"Lately, I've been feeling very pressured by deadlines. Work-life balance seems impossible.",7,Stress,-1.0,fear
"It's a struggle, but I'm seeing positive changes. Each day brings new hope.",7,Positive Outlook,1.0,joy
"I'm trying, but I'm still extremely confused about my professional path. Others seem more certain.",6,Career Confusion,-1.0,fear
"Sometimes, I think I'm managing my health anxiety better. The constant worry is lessening.",5,Health Anxiety,1.0,joy
"My mind feels like it's constantly focused on food rules. Breaking routine causes panic.",8,Eating Disorder,-1.0,joy
"It's a struggle with daily anxiety, but I'm learning to cope. Deep breathing helps sometimes.",6,Anxiety,0.0,joy
"Lately, I've been feeling very low, but therapy is helping. Small steps forward matter.",5,Depression,0.0,sadness
"I'm trying, but I'm still extremely tired from lack of sleep. Bedtime has become stressful.",8,Insomnia,-1.0,sadness
"My mind feels like it's always in overdrive. Work stress follows me everywhere.",7,Stress,-1.0,joy
"Lately, I've been feeling very optimistic about life. Challenges seem more manageable now.",9,Positive Outlook,1.0,joy
"Sometimes, I think I'm finding clarity about my career. The uncertainty is slowly lifting.",5,Career Confusion,1.0,joy
"It's a struggle with medical appointments. I'm constantly worried about test results.",7,Health Anxiety,-1.0,fear
"My mind feels like it's obsessed with body image. Eating has become a mathematical exercise.",9,Eating Disorder,-1.0,love
"Lately, I've been feeling very tense in crowds. Social situations drain my energy completely.",8,Anxiety,-1.0,anger
"My mind feels like it can't sleep well. I toss and turn all night, watching the clock tick by.",8,Insomnia,-1.0,joy
"It's a struggle, I'm constantly worried about my health. Every small symptom sends me into panic.",9,Health Anxiety,-1.0,fear
"Lately, I've been feeling very anxious about food. The thought of eating makes me uncomfortable.",7,Eating Disorder,-1.0,fear
"Sometimes, I think I'm feeling hopeful about my future. Each day brings new possibilities.",6,Positive Outlook,1.0,joy
"I'm trying, but I'm still extremely stressed about work deadlines and expectations.",8,Stress,-1.0,anger
"My mind feels like it can't find peace. Every social situation makes me overthink.",7,Anxiety,-1.0,sadness
"It's a struggle, I'm constantly worried about my career path. Nothing seems clear anymore.",6,Career Confusion,-1.0,fear
"Lately, I've been feeling very low. Simple tasks feel overwhelming and meaningless.",8,Depression,-1.0,sadness
"My mind feels scattered and restless. Sleep seems like a distant memory these days.",7,Insomnia,-1.0,fear
"Sometimes, I think I'm making progress with my anxiety. The worry isn't as intense.",5,Anxiety,0.0,joy
"I'm trying, but I'm still extremely concerned about every bite I eat.",9,Eating Disorder,-1.0,fear
"My mind feels heavy with career doubts. Everyone else seems to have direction.",7,Career Confusion,-1.0,sadness
"It's a struggle, but I'm starting to see small improvements in my mood.",4,Depression,0.0,joy
"Lately, I've been feeling more optimistic about life. Small wins keep me going.",6,Positive Outlook,1.0,joy
"Sometimes, I think the stress is becoming manageable. I'm learning better coping strategies.",5,Stress,0.0,joy
"My mind races with health concerns constantly. Every news article triggers my worry.",8,Health Anxiety,-1.0,fear
"I'm trying to stay positive, but sleep evades me night after night.",7,Insomnia,-1.0,joy
"Lately, I've been questioning every career decision I've made. The uncertainty is overwhelming.",8,Career Confusion,-1.0,fear
"Sometimes, I think my relationship with food is improving slowly.",4,Eating Disorder,0.0,joy
"It's a struggle with constant health anxiety, but I'm taking it day by day.",6,Health Anxiety,0.0,fear
"My mind feels lighter these days. I'm finding joy in small moments again.",5,Positive Outlook,1.0,joy
"I'm trying to manage my depression, taking small steps each day.",5,Depression,0.0,joy
"Lately, I've been dealing with overwhelming stress at work and home.",8,Stress,-1.0,fear
"Sometimes, I think my anxiety is finally becoming more manageable.",4,Anxiety,1.0,joy
"My mind feels trapped in this cycle of worry. Sleep seems impossible lately.",9,Insomnia,-1.0,fear
"It's a struggle to find my professional path, but I'm exploring options.",6,Career Confusion,0.0,joy
"I'm trying to build a healthier relationship with food, one meal at a time.",5,Eating Disorder,1.0,joy
"Lately, I've been more confident about my health choices.",4,Health Anxiety,1.0,joy
"Sometimes, I think the darkness is lifting. I feel more like myself.",6,Depression,1.0,sadness
"My mind feels clearer when I practice mindfulness. The stress is less overwhelming.",5,Stress,1.0,joy
"It's a struggle with anxiety, but therapy is helping me understand it better.",6,Anxiety,0.0,fear
"I'm trying to embrace each day with hope. The future seems brighter now.",7,Positive Outlook,1.0,joy
"Lately, I've been sleeping better with my new bedtime routine.",4,Insomnia,1.0,joy
"Sometimes, I think my career uncertainty is leading me to better opportunities.",5,Career Confusion,1.0,joy
"I'm feeling very low these days, can't seem to find joy in anything. Even simple tasks feel overwhelming.",8,Depression,-1.0,sadness
"I am feeling hopeful about my recovery, and it's making a positive difference in my daily routine.",6,Positive Outlook,1.0,joy
"My mind keeps worrying about my health. Every small symptom feels like it could be something serious.",7,Health Anxiety,-1.0,sadness
"I am constantly worried about my future career path, and it's affecting my current work performance.",6,Career Confusion,-1.0,fear
"Recently, I've noticed that I'm constantly worried about eating in public places.",8,Eating Disorder,-1.0,fear
"I am feeling much better these days. The therapy sessions are really helping me cope.",5,Positive Outlook,1.0,joy
"Lately, I've been happy and excited about my new job opportunity.",7,Career Confusion,1.0,joy
"Things have been tough, I keep extremely stressed about my upcoming medical tests.",9,Health Anxiety,-1.0,anger
"These past few days, I've been feeling can't sleep well, tossing and turning all night.",8,Insomnia,-1.0,joy
"Every day I'm not eating properly, skipping meals has become a habit I can't break.",7,Eating Disorder,-1.0,sadness
"Sometimes, I think I'm feeling much better, but then anxiety creeps back in unexpectedly.",5,Anxiety,0.0,joy
"The constant health-related thoughts are draining my energy. Every headache feels like a crisis.",8,Health Anxiety,-1.0,sadness
"Food has become my enemy. I spend hours calculating calories and feeling guilty after meals.",9,Eating Disorder,-1.0,sadness
"Meeting deadlines at work fills me with dread. My hands shake just thinking about it.",7,Anxiety,-1.0,fear
"Nothing seems worth doing anymore. I stay in bed most days, avoiding everyone.",9,Depression,-1.0,joy
"Sleep feels impossible lately. I watch the clock tick past midnight every single night.",8,Insomnia,-1.0,sadness
"Work pressure is crushing me. I can barely focus on tasks anymore.",8,Stress,-1.0,fear
"Started a new hobby and it brings me joy. Finally feeling like myself again.",6,Positive Outlook,1.0,joy
"Should I switch careers now? The uncertainty is eating away at my confidence.",7,Career Confusion,-1.0,fear
"Every minor body sensation sends me into panic mode about my health.",8,Health Anxiety,-1.0,fear
"I've stopped going to social events because they involve food. The anxiety is too much.",9,Eating Disorder,-1.0,fear
"Simple decisions feel overwhelming. My mind won't stop overthinking everything.",7,Anxiety,-1.0,joy
"Can't remember the last time I felt genuinely happy. Everything feels grey.",8,Depression,-1.0,joy
"Third night without proper sleep. My mind races with worries when I lay down.",9,Insomnia,-1.0,fear
"The constant demands from work and family are becoming unbearable.",8,Stress,-1.0,anger
"My new morning routine is helping me stay positive throughout the day.",5,Positive Outlook,1.0,joy
"Feeling lost about my professional direction. Should I start over in a new field?",6,Career Confusion,-1.0,sadness
"Doctor's appointments give me panic attacks. I'm always expecting the worst news.",7,Health Anxiety,-1.0,fear
"The thought of eating at restaurants makes me anxious. I make excuses to avoid them.",8,Eating Disorder,-1.0,fear
"Presenting in meetings makes my heart race. I worry about judgment constantly.",7,Anxiety,-1.0,fear
"Even my favorite activities don't bring joy anymore. Everything feels pointless.",9,Depression,-1.0,sadness
"The lack of sleep is affecting my work. I'm tired but can't shut off my thoughts.",8,Insomnia,-1.0,sadness
"Balancing work and personal life feels impossible. I'm always behind on something.",7,Stress,-1.0,sadness
"Finally seeing progress in therapy. Small wins feel significant now.",6,Positive Outlook,1.0,joy
"My career path feels unclear. Everyone else seems to have it figured out.",6,Career Confusion,-1.0,fear
"I check my pulse constantly throughout the day. Health anxiety controls my life.",8,Health Anxiety,-1.0,fear
"Avoiding social gatherings because they involve meals. I miss my friends.",7,Eating Disorder,-1.0,sadness
"Grocery shopping makes me anxious now. The crowds feel overwhelming.",6,Anxiety,-1.0,fear
"Getting out of bed feels like climbing a mountain. Each day is a struggle.",8,Depression,-1.0,fear
"I lie awake counting hours until sunrise. Sleep seems impossible.",9,Insomnia,-1.0,fear
"Deadlines keep piling up, and I feel frozen with stress.",8,Stress,-1.0,fear
"Started volunteering, and it gives my life new meaning.",7,Positive Outlook,1.0,joy
"The thought of changing careers both excites and terrifies me.",5,Career Confusion,0.0,fear
"Every unfamiliar body sensation sends me into a panic spiral.",7,Health Anxiety,-1.0,fear
"I've developed strict food rules that control my daily life.",8,Eating Disorder,-1.0,anger
"Simple tasks like checking email fill me with unexplainable dread.",6,Anxiety,-1.0,sadness
"The future feels hopeless. I can't imagine things getting better.",9,Depression,-1.0,sadness
"My sleep schedule is completely broken. I feel exhausted but wired.",8,Insomnia,-1.0,sadness
"Work expectations keep increasing, and I'm struggling to cope.",7,Stress,-1.0,fear
"Finding joy in small moments again. Recovery feels possible.",6,Positive Outlook,1.0,joy
"Unsure if I should pursue my passion or stay in my stable job.",6,Career Confusion,0.0,fear
"Health websites have become my obsession. I'm always searching symptoms.",8,Health Anxiety,-1.0,joy
"The mirror has become my enemy. I avoid looking at myself.",9,Eating Disorder,-1.0,anger
"Social situations make my heart race and palms sweat.",7,Anxiety,-1.0,anger
"Can't focus on anything. My mind feels empty and heavy.",8,Depression,-1.0,sadness
"Night time has become my enemy. I dread going to bed.",8,Insomnia,-1.0,fear
"Feel like I'm drowning in responsibilities and expectations.",9,Stress,-1.0,sadness
"Started meditation, and it's bringing peace to my days.",5,Positive Outlook,1.0,joy
"Want to change careers but fear making the wrong choice.",7,Career Confusion,-1.0,fear
"Always imagining the worst possible health scenarios.",8,Health Anxiety,-1.0,fear
"Food has become numbers and rules instead of enjoyment.",8,Eating Disorder,-1.0,joy
"Constant worry about future events consumes my thoughts.",7,Anxiety,-1.0,fear
"Lost interest in hobbies and socializing completely.",9,Depression,-1.0,sadness
"Sleep has become more elusive than ever before.",8,Insomnia,-1.0,fear
"Can't handle the pressure from all directions anymore.",8,Stress,-1.0,fear
"Finding new strength in facing daily challenges.",6,Positive Outlook,1.0,joy
"My career path feels like a maze without an exit.",7,Career Confusion,-1.0,sadness
"Every headache feels like it could be something serious.",7,Health Anxiety,-1.0,sadness
"Counting calories has taken over my daily thoughts.",8,Eating Disorder,-1.0,joy
"Simple decisions paralyze me with uncertainty now.",6,Anxiety,-1.0,joy
"Each day feels heavier than the last to bear.",9,Depression,-1.0,sadness
"Lying awake wondering if sleep will ever come.",8,Insomnia,-1.0,fear
"The weight of expectations is crushing my spirit.",8,Stress,-1.0,fear
"Starting to see light at the end of the tunnel.",5,Positive Outlook,1.0,joy
"Everyone seems more successful in their careers than me.",7,Career Confusion,-1.0,joy
"My health worries are consuming all my mental energy.",8,Health Anxiety,-1.0,fear
"Feel guilty about every meal I eat nowadays.",8,Eating Disorder,-1.0,sadness
"Constant worry about things I can't control.",7,Anxiety,-1.0,fear
"The simplest tasks feel like massive undertakings.",9,Depression,-1.0,joy
"Night time anxiety keeps me from falling asleep.",8,Insomnia,-1.0,fear
"Work-life balance seems impossible to achieve.",7,Stress,-1.0,sadness
"Taking small steps toward a more positive future.",6,Positive Outlook,1.0,joy
"Doubting every career decision I've ever made.",7,Career Confusion,-1.0,fear
"My health concerns are affecting my daily life.",7,Health Anxiety,-1.0,fear
"Struggling with body image and food choices daily.",8,Eating Disorder,-1.0,sadness
"Fear of failure keeps me from trying new things.",7,Anxiety,-1.0,fear
"Finding it hard to care about anything anymore.",9,Depression,-1.0,sadness
"Sleep has become a distant memory lately.",8,Insomnia,-1.0,sadness
"Feeling overwhelmed by daily responsibilities.",8,Stress,-1.0,surprise
"Each day brings new hope and possibilities.",6,Positive Outlook,1.0,joy
"Confused about which career path to follow.",6,Career Confusion,0.0,fear
"Constantly monitoring my body for symptoms.",7,Health Anxiety,-1.0,fear
"The thought of eating makes me extremely anxious.",8,Eating Disorder,-1.0,fear
"Worry consumes most of my waking thoughts.",7,Anxiety,-1.0,fear
"Can't remember what happiness feels like anymore.",9,Depression,-1.0,joy
"Anxiety keeps me awake most nights now.",8,Insomnia,-1.0,fear
"Everything feels like too much to handle.",8,Stress,-1.0,sadness
"Making progress in small but meaningful ways.",5,Positive Outlook,1.0,joy
"Career uncertainty keeps me up at night.",7,Career Confusion,-1.0,fear
"Always preparing for the worst health scenarios.",8,Health Anxiety,-1.0,fear
"Food has become a source of constant stress.",8,Eating Disorder,-1.0,anger
"Simple tasks trigger overwhelming anxiety.",7,Anxiety,-1.0,fear
"The world feels colorless and meaningless now.",9,Depression,-1.0,sadness
"Haven't had a full night's sleep in weeks.",9,Insomnia,-1.0,fear
"Pressure from all sides is becoming unbearable.",8,Stress,-1.0,fear
"Finally feeling like myself again slowly.",5,Positive Outlook,1.0,love
"Questioning all my professional choices lately.",6,Career Confusion,-1.0,fear
"Health fears dominate my daily thoughts.",8,Health Anxiety,-1.0,fear
"Meal times have become moments of panic.",9,Eating Disorder,-1.0,fear
"Constant worry affects my concentration badly.",7,Anxiety,-1.0,fear
"Life feels like it's lost all meaning lately.",9,Depression,-1.0,sadness
"Sleep seems more distant with each passing night.",8,Insomnia,-1.0,sadness
"Can't keep up with life's demands anymore.",8,Stress,-1.0,sadness
"Each day brings small victories to celebrate.",6,Positive Outlook,1.0,joy
"Feel like I'm on the wrong career path.",7,Career Confusion,-1.0,sadness
"My health anxiety controls every decision.",8,Health Anxiety,-1.0,fear
"Food has become an enemy I fight daily.",9,Eating Disorder,-1.0,anger
"Worry has become my constant companion.",7,Anxiety,-1.0,fear
"Depression clouds every moment of my day.",9,Depression,-1.0,sadness
"Insomnia has taken over my life completely.",9,Insomnia,-1.0,fear
"Stress follows me like a constant shadow.",8,Stress,-1.0,fear
"Starting to see positive changes finally.",5,Positive Outlook,1.0,joy
"Career indecision paralyzes my progress.",7,Career Confusion,-1.0,fear
"Health worries occupy my mind constantly.",8,Health Anxiety,-1.0,fear
"Eating has become a mathematical equation.",8,Eating Disorder,-1.0,joy
"Anxiety dictates my daily routine now.",7,Anxiety,-1.0,fear
"Everything requires enormous effort lately.",9,Depression,-1.0,fear
"Sleep feels like a luxury I can't afford.",8,Insomnia,-1.0,joy
"Daily pressures keep mounting endlessly.",8,Stress,-1.0,fear
"Finding joy in little things again.",5,Positive Outlook,1.0,joy
"Professional future seems uncertain always.",7,Career Confusion,-1.0,fear
"Health concerns affect my every move.",8,Health Anxiety,-1.0,fear
"Feel trapped in negative food thoughts.",9,Eating Disorder,-1.0,sadness
"Worry has become my default state.",7,Anxiety,-1.0,fear
"Lost all motivation for daily activities.",9,Depression,-1.0,sadness
"Bedtime has become a battle nightly.",8,Insomnia,-1.0,fear
"Can't handle any more pressure now.",8,Stress,-1.0,fear
"Hope is returning to my life slowly.",5,Positive Outlook,1.0,joy
"Career choices keep me second-guessing.",7,Career Confusion,-1.0,fear
"Constant fear about my health status.",8,Health Anxiety,-1.0,fear
"Food thoughts consume my entire day.",9,Eating Disorder,-1.0,joy
"Anxiety controls my decision making.",7,Anxiety,-1.0,fear
"Each day feels harder than the last.",9,Depression,-1.0,sadness
"Sleep eludes me more each night.",8,Insomnia,-1.0,sadness
"Life's demands feel overwhelming now.",8,Stress,-1.0,joy
"Starting to feel more like myself.",5,Positive Outlook,1.0,joy
"Career path seems increasingly unclear.",7,Career Confusion,-1.0,fear
"Health worries dominate my thoughts.",8,Health Anxiety,-1.0,fear
"Eating has become a daily struggle.",9,Eating Disorder,-1.0,sadness
"Constant worry affects every aspect.",7,Anxiety,-1.0,fear
"Nothing brings joy or pleasure now.",9,Depression,-1.0,joy
"Night time anxiety keeps me awake.",8,Insomnia,-1.0,fear
"Stress levels keep rising daily.",8,Stress,-1.0,fear
"Small improvements give me hope.",5,Positive Outlook,1.0,joy
"Professional future seems daunting.",7,Career Confusion,-1.0,fear
"Always fearing the worst health-wise.",8,Health Anxiety,-1.0,fear
"Can't enjoy food without guilt anymore.",9,Eating Disorder,-1.0,joy
"Anxiety controls my daily choices.",7,Anxiety,-1.0,fear
"Depression colors everything grey.",9,Depression,-1.0,sadness
"Sleep seems impossible these days.",8,Insomnia,-1.0,sadness
"Everything feels overwhelming lately.",8,Stress,-1.0,joy
"Recovery seems possible finally.",5,Positive Outlook,1.0,joy
"Career decisions paralyze me completely.",7,Career Confusion,-1.0,fear
"I can't stop checking my blood pressure every hour. The constant worry about my health is overwhelming me.",8,Health Anxiety,-1.0,fear
"My appetite has completely disappeared. I feel guilty even thinking about food these days.",9,Eating Disorder,-1.0,sadness
"The upcoming presentation keeps me up at night. My thoughts won't stop racing about all possible scenarios.",7,Anxiety,-1.0,fear
"Haven't left my room in days. Everything feels meaningless, and I can't find joy in things anymore.",9,Depression,-1.0,sadness
"Tossing and turning every night, counting hours until sunrise. Sleep feels like a distant memory.",8,Insomnia,-1.0,sadness
"Work deadlines are piling up, and I feel completely overwhelmed. Can't seem to catch a breath.",7,Stress,-1.0,surprise
"Started a new morning routine, and I'm already feeling more energetic. Small wins feel meaningful.",6,Positive Outlook,1.0,joy
"Unsure if I should switch careers or stay put. The uncertainty of my professional path troubles me.",6,Career Confusion,-1.0,fear
"My heart races whenever I feel slight discomfort. I'm constantly googling symptoms and feeling worse.",7,Health Anxiety,-1.0,sadness
"I measure every calorie and feel anxious about eating in public. It's taking over my thoughts.",8,Eating Disorder,-1.0,fear
"Walking through crowds makes my chest tight. Simple errands feel like massive challenges now.",6,Anxiety,-1.0,joy
"Finding it hard to concentrate or care about anything. Days blur together without purpose.",8,Depression,-1.0,sadness
"Even when exhausted, my mind won't quiet down. Three hours of sleep is becoming normal.",9,Insomnia,-1.0,sadness
"Family expectations and work pressure are crushing me. I feel like I'm failing everyone.",8,Stress,-1.0,sadness
"Started volunteering at an animal shelter. It gives me purpose and joy each weekend.",7,Positive Outlook,1.0,joy
"Stuck between following my passion or choosing a stable career. The decision paralyzes me.",7,Career Confusion,-1.0,fear
"Started meditation and feel more balanced. My thoughts are clearer, and I'm sleeping better.",5,Positive Outlook,1.0,joy
"The doctor said I'm healthy, but I keep worrying about undiagnosed conditions.",6,Health Anxiety,-1.0,joy
"Skipping meals has become a habit. I feel a mix of pride and shame about losing weight.",7,Eating Disorder,-1.0,joy
"Meeting new people makes me nervous, but I'm learning to manage these feelings better.",5,Anxiety,0.0,fear
"Recently started journaling, and it helps lift the heavy feeling in my chest.",4,Depression,0.0,sadness
"Developed a bedtime routine that's slowly helping. Some nights are better than others.",5,Insomnia,0.0,joy
"Learning to set boundaries at work. Still stressed but handling it better than before.",6,Stress,0.0,anger
"Each day brings new opportunities. I'm excited about what the future holds.",8,Positive Outlook,1.0,joy
"Exploring different career options makes me both excited and nervous about possibilities.",5,Career Confusion,0.0,joy
"Taking vitamins and exercising regularly has reduced my health worries significantly.",4,Health Anxiety,1.0,joy
"Working with a nutritionist to develop a healthy relationship with food again.",5,Eating Disorder,1.0,joy
"The breathing exercises my therapist taught me are helping with panic attacks.",4,Anxiety,1.0,fear
"Started painting again after months. Colors are slowly coming back into my life.",3,Depression,1.0,joy
"Found a natural sleep supplement that helps. Getting better rest most nights now.",4,Insomnia,1.0,joy
"Prioritizing self-care and saying no when needed. Stress feels more manageable.",3,Stress,1.0,joy
"Achieved my monthly goals and feeling proud. Small steps lead to big changes.",9,Positive Outlook,1.0,joy
